p,C(p)/C(0),L(p)/L(0)
0.0001,1.0,1.0
0.000125892541179,0.999201515152,0.76956
0.000158489319246,0.997239393939,0.5297
0.000199526231497,0.998511363636,0.83498
0.000251188643151,0.999418181818,0.78756
0.000316227766017,0.999418181818,0.97666
0.000398107170553,0.997997727273,0.49218
0.000501187233627,0.998579545455,0.75796
0.00063095734448,0.994871969697,0.3567
0.000794328234724,0.995378030303,0.49246
0.001,0.987896212121,0.2436
0.00125892541179,0.989956060606,0.26758
0.00158489319246,0.992699242424,0.3286
0.00199526231497,0.994073484848,0.33158
0.00251188643151,0.985079978355,0.2221
0.00316227766017,0.982490151515,0.22904
0.00398107170553,0.979057575758,0.1992
0.00501187233627,0.975559848485,0.17276
0.0063095734448,0.964899458874,0.14872
0.00794328234724,0.954123268398,0.13554
0.01,0.941835714286,0.13232
0.0125892541179,0.927247402597,0.11764
0.0158489319246,0.902302172827,0.1054
0.0199526231497,0.874314077589,0.09654
0.0251188643151,0.863534182484,0.0959
0.0316227766017,0.808367882118,0.08384
0.0398107170553,0.794563411588,0.0815
0.0501187233627,0.729139302364,0.07996
0.063095734448,0.679419155844,0.07786
0.0794328234724,0.596751165501,0.0709
0.1,0.54740462038,0.06544
0.125892541179,0.478697058824,0.06132
0.158489319246,0.371690542791,0.06006
0.199526231497,0.276202755578,0.06002
0.251188643151,0.188746559078,0.06
0.316227766017,0.124378295724,0.06
0.398107170553,0.0590236873421,0.05994
0.501187233627,0.0256079500221,0.05986
0.63095734448,0.0167857192343,0.05968
0.794328234724,0.0161543211304,0.05936
1.0,0.0142575806675,0.05946
